candidato,retweetTimesNegativity,retweetTotal,creacion,numSemana
Samuel Garcia,0,545,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0,2171,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0.81,10,10/03/21,11
Samuel Garcia,68.985,511,10/03/21,11
Samuel Garcia,0,545,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0,2171,10/03/21,11
Samuel Garcia,0,2171,10/03/21,11
Samuel Garcia,0,2171,10/03/21,11
Samuel Garcia,68.985,511,10/03/21,11
Samuel Garcia,68.985,511,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0,1,10/03/21,11
Samuel Garcia,0,10,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0.438,2,10/03/21,11
Samuel Garcia,0,2171,10/03/21,11
Samuel Garcia,68.985,511,10/03/21,11
Samuel Garcia,0,2171,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0,1,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,1.551,11,10/03/21,11
Samuel Garcia,0,2171,10/03/21,11
Samuel Garcia,7.4,25,10/03/21,11
Samuel Garcia,0,2171,10/03/21,11
Samuel Garcia,0.14,5,10/03/21,11
Samuel Garcia,0,2171,10/03/21,11
Samuel Garcia,0,2,10/03/21,11
Samuel Garcia,0,62,10/03/21,11
Samuel Garcia,0,545,10/03/21,11
Samuel Garcia,4.58,20,10/03/21,11
Samuel Garcia,1.456,13,10/03/21,11
Samuel Garcia,0.414,2,10/03/21,11
Samuel Garcia,0,133,10/03/21,11
Samuel Garcia,0,545,10/03/21,11
Samuel Garcia,9.918,57,10/03/21,11
Samuel Garcia,68.985,511,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,35.496,174,10/03/21,11
Samuel Garcia,0,2171,10/03/21,11
Samuel Garcia,68.985,511,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,458.403,1437,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0,1,10/03/21,11
Samuel Garcia,0,28,10/03/21,11
