distrito_id,dto,edo,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CAND_IND_1,CAND_IND_2,CAND_IND_3,PAN-PRI-PRD,PAN-PRI,PAN-PRD,PRI-PRD,PVEM-PT-MORENA,PVEM-PT,PVEM-MORENA,PT-MORENA,JHH,VXM,TOTAL,GANADOR_2018,GANADOR_2021
1610,10,16,0,0,0,0,0,4.37,0,1.69,1.13,1.55,0,0,0,44.94,0,0,0,46.33,0,0,0,1,1,8085,PT-MORENA-PES,PVEM-PT-MORENA
1611,11,16,0,0,0,0,0,3.83,0,4.81,14.19,4.36,0,0,0,24.12,0,0,0,48.71,0,0,0,1,1,9276,PT-MORENA-PES,PVEM-PT-MORENA
1302,2,13,0,0,0,3.98,9.35,1.67,53.56,1.38,2.1,2.36,0,0,0,25.6,0,0,0,0,0,0,0,0,1,11895,PT-MORENA-PES,MORENA
1303,3,13,0,0,0,11.39,7.33,5.35,25.72,8.25,1.23,3.13,0,0,0,37.59,0,0,0,0,0,0,0,0,1,17439,PT-MORENA-PES,PAN-PRI-PRD
1304,4,13,0,0,0,0,0,1.57,0,2.41,0.64,1.88,0,0,0,44.42,0,0,0,49.08,0,0,0,1,1,8782,PT-MORENA-PES,PVEM-PT-MORENA
1306,6,13,0,0,0,4.83,4.89,7.48,29.38,1.96,0.75,2.21,0,0,0,48.5,0,0,0,0,0,0,0,0,1,23032,PT-MORENA-PES,PAN-PRI-PRD
1307,7,13,0,0,0,10.68,10.1,3.95,32.01,1.65,1.67,2.07,0,0,0,37.87,0,0,0,0,0,0,0,0,1,15351,PT-MORENA-PES,PAN-PRI-PRD
2201,1,22,0,0,0,2.6,1.92,6.1,59.68,2.41,0.92,2.62,0,0,0,23.75,0,0,0,0,0,0,0,0,1,48398,PT-MORENA-PES,MORENA
2202,2,22,0,0,0,0,0,5.85,0,1.21,1.24,1.46,0,0,0,51.13,0,0,0,39.11,0,0,0,1,1,63205,PT-MORENA-PES,PAN-PRI-PRD
2203,3,22,0,0,0,0,0,10.44,0,1.95,1.17,2.61,0,0,0,40.49,0,0,0,43.35,0,0,0,1,1,33903,PT-MORENA-PES,PVEM-PT-MORENA
2204,4,22,0,0,0,0,0,2.2,0,2.91,1.2,3.15,0,0,0,25.62,0,0,0,64.93,0,0,0,1,1,29946,PT-MORENA-PES,PVEM-PT-MORENA
2205,5,22,0,0,0,0,0,5.18,0,2.99,1.64,1.9,0,0,0,42.59,0,0,0,45.7,0,0,0,1,1,22944,PAN-PRD-MC,PVEM-PT-MORENA
3001,1,30,0,0,0,0,0,11.16,0,1.77,0.23,0.98,0,0,0,62.56,0,0,0,23.3,0,0,0,1,1,2142,PT-MORENA-PES,PAN-PRI-PRD
3002,2,30,56.44,6.27,0.9,2.56,1.14,5.37,24.45,1.73,0.24,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,2888,PT-MORENA-PES,PAN
3003,3,30,0,0,0,0,0,2.6,0,1.89,0.31,0.63,0,0,0,62.79,0,0,0,31.79,0,0,0,1,1,1271,PT-MORENA-PES,PAN-PRI-PRD
3005,5,30,0,0,0,0,0,21.09,0,7.46,0.71,0.71,0,0,0,56.16,0,0,0,13.86,0,0,0,1,1,844,PT-MORENA-PES,PAN-PRI-PRD
3006,6,30,0,0,0,3.24,2.15,2.79,53.29,2.98,1.28,2.07,0,0,0,32.21,0,0,0,0,0,0,0,0,1,66684,PT-MORENA-PES,MORENA
3007,7,30,0,0,0,0,0,3.16,0,1.54,0.78,1.74,0,0,0,51.01,0,0,0,41.77,0,0,0,1,1,84133,PT-MORENA-PES,PAN-PRI-PRD
3008,8,30,0,0,0,0,0,2.31,0,2,0.98,4.99,0,0,0,46.62,0,0,0,43.08,0,0,0,1,1,64966,PT-MORENA-PES,PAN-PRI-PRD
3009,9,30,0,0,0,0,0,3.94,0,2.95,0.95,2.2,0,0,0,31.06,0,0,0,58.91,0,0,0,1,1,48225,PAN-PRD-MC,PVEM-PT-MORENA
3010,10,30,0,0,0,0,0,7.14,0,1.17,0.69,4.37,0,0,0,49.4,0,0,0,37.24,0,0,0,1,1,60154,PT-MORENA-PES,PAN-PRI-PRD
3013,13,30,0,0,0,0,0,3.47,0,2.58,1.4,1.92,0,0,0,44.2,0,0,0,46.42,0,0,0,1,1,52565,PAN-PRD-MC,PVEM-PT-MORENA
3014,14,30,0,0,0,6,3.33,3.15,45.74,3.5,1.04,2.39,0,0,0,34.84,0,0,0,0,0,0,0,0,1,58212,PAN-PRD-MC,MORENA
3015,15,30,0,0,0,0,0,4.39,0,0.79,0.47,1.02,0,0,0,63.38,0,0,0,29.94,0,0,0,1,1,78617,PT-MORENA-PES,PAN-PRI-PRD
3016,16,30,0,0,0,2.24,1.86,3.83,45.31,1.49,0.7,1.97,0,0,0,42.6,0,0,0,0,0,0,0,0,1,39979,PT-MORENA-PES,MORENA
3017,17,30,0,0,0,2.01,1.59,3.61,33.48,1.54,0.75,1.92,0,0,0,55.1,0,0,0,0,0,0,0,0,1,56040,PT-MORENA-PES,PAN-PRI-PRD
